iter	Passed	Remaining
537	2462	2114
538	2463	2107
539	2464	2099
540	2466	2092
541	2469	2087
542	2471	2079
543	2472	2072
544	2473	2065
545	2474	2057
546	2476	2050
547	2477	2043
548	2478	2036
549	2479	2028
550	2480	2021
551	2484	2016
552	2485	2009
553	2486	2002
554	2488	1994
555	2489	1987
556	2491	1981
557	2492	1974
558	2493	1967
559	2494	1960
560	2495	1953
561	2498	1947
562	2500	1940
563	2501	1933
564	2502	1926
565	2503	1919
566	2504	1912
567	2506	1906
568	2507	1899
569	2508	1892
570	2509	1885
571	2511	1878
572	2514	1873
573	2516	1867
574	2517	1860
575	2518	1854
576	2520	1847
577	2521	1840
578	2522	1834
579	2523	1827
580	2525	1821
581	2526	1814
582	2529	1808
583	2530	1802
584	2531	1795
585	2532	1789
586	2533	1782
587	2535	1776
588	2536	1769
589	2537	1763
590	2538	1757
591	2540	1750
592	2544	1746
593	2545	1740
594	2547	1733
595	2548	1727
596	2550	1721
597	2552	1715
598	2553	1709
599	2555	1703
600	2558	1698
601	2560	1692
602	2562	1687
603	2564	1681
604	2565	1675
605	2567	1669
606	2570	1664
607	2573	1659
608	2576	1654
609	2579	1648
610	2580	1643
611	2582	1637
612	2583	1631
613	2585	1625
614	2591	1622
615	2593	1616
616	2595	1611
617	2597	1605
618	2599	1599
619	2601	1594
620	2607	1591
621	2610	1586
622	2612	1580
623	2613	1574
624	2615	1569
625	2616	1563
626	2622	1560
627	2624	1554
628	2626	1548
629	2627	1543
630	2628	1537
631	2630	1531
632	2631	1525
633	2640	1524
634	2642	1518
635	2643	1513
636	2645	1507
637	2646	1501
638	2651	1497
639	2653	1492
640	2656	1487
641	2657	1482
642	2659	1476
643	2661	1471
644	2666	1467
645	2669	1462
646	2670	1457
647	2672	1451
648	2673	1446
649	2675	1440
650	2676	1434
651	2686	1433
652	2687	1428
653	2689	1422
654	2690	1417
655	2692	1411
656	2693	1406
657	2696	1401
658	2699	1396
659	2700	1391
660	2702	1386
661	2703	1380
662	2705	1375
663	2709	1370
664	2714	1367
665	2715	1361
666	2717	1356
667	2718	1351
668	2720	1345
669	2721	1340
670	2722	1335
671	2736	1335
672	2738	1330
673	2740	1325
674	2745	1321
675	2747	1316
676	2748	1311
677	2750	1306
678	2752	1301
679	2754	1296
680	2759	1292
681	2762	1288
682	2765	1283
683	2766	1278
684	2768	1273
685	2770	1268
686	2778	1265
687	2780	1260
688	2782	1255
689	2783	1250
690	2785	1245
691	2786	1240
692	2792	1237
693	2794	1231
694	2796	1227
695	2797	1221
696	2798	1216
697	2800	1211
698	2807	1209
699	2809	1204
700	2811	1199
701	2812	1194
702	2814	1188
703	2815	1183
704	2817	1178
705	2823	1175
706	2824	1170
707	2826	1165
708	2828	1160
709	2829	1155
710	2830	1150
711	2835	1146
712	2837	1142
713	2839	1137
714	2840	1132
715	2841	1127
716	2843	1122
717	2845	1117
718	2846	1112
719	2851	1109
720	2853	1104
721	2854	1099
722	2856	1094
723	2857	1089
724	2858	1084
725	2859	1079
726	2861	1074
727	2862	1069
728	2865	1065
729	2867	1060
730	2868	1055
731	2870	1050
732	2871	1046
733	2873	1041
734	2874	1036
735	2876	1031
736	2879	1027
737	2882	1023
738	2884	1018
739	2885	1013
740	2886	1008
741	2888	1004
742	2889	999
743	2890	994
744	2891	989
745	2894	985
746	2896	981
747	2897	976
748	2899	971
749	2900	966
750	2901	962
751	2902	957
752	2903	952
753	2905	947
754	2906	943
755	2907	938
756	2910	934
757	2912	929
758	2913	925
759	2914	920
760	2916	915
761	2917	911
762	2918	906
763	2919	901
764	2920	897
765	2922	892
766	2924	888
767	2925	883
768	2926	879
769	2927	874
770	2928	869
771	2930	865
772	2931	860
773	2932	856
774	2933	851
775	2935	847
776	2937	843
777	2939	838
778	2940	834
779	2941	829
780	2943	825
781	2944	820
782	2945	816
783	2946	811
784	2948	807
785	2949	803
786	2950	798
787	2953	794
788	2955	790
789	2956	785
790	2957	781
791	2959	777
792	2961	772
793	2962	768
794	2963	764
795	2965	759
796	2968	756
797	2970	751
798	2971	747
799	2972	743
800	2974	738
801	2975	734
802	2977	730
803	2979	726
804	2983	722
805	2985	718
806	2987	714
807	2988	710
808	2989	705
809	2990	701
810	2992	697
811	2993	693
812	2994	688
813	2995	684
814	2998	680
815	3000	676
816	3001	672
817	3002	668
818	3004	663
819	3005	659
820	3006	655
821	3009	651
822	3010	647
823	3014	643
824	3015	639
825	3017	635
826	3018	631
827	3019	627
828	3021	623
829	3022	619
830	3023	614
831	3025	610
832	3028	607
833	3029	603
834	3031	598
835	3032	594
836	3033	590
837	3035	586
838	3036	582
839	3037	578
840	3038	574
841	3040	570
842	3043	566
843	3045	562
844	3046	558
845	3048	554
846	3049	550
847	3052	547
848	3053	543
849	3058	539
850	3059	535
851	3061	531
852	3063	527
853	3064	523
854	3066	519
855	3067	516
856	3068	512
857	3069	508
858	3072	504
859	3073	500
860	3074	496
861	3076	492
862	3077	488
863	3078	484
864	3080	480
865	3081	476
866	3082	472
867	3084	469
868	3087	465
869	3088	461
870	3090	457
871	3091	453
872	3092	449
873	3093	446
874	3094	442
875	3096	438
876	3097	434
877	3098	430
878	3100	426
879	3102	423
880	3103	419
881	3104	415
882	3106	411
883	3107	407
884	3108	403
885	3109	400
886	3111	396
887	3112	392
888	3113	388
889	3116	385
890	3117	381
891	3118	377
892	3119	373
893	3121	370
894	3122	366
895	3123	362
896	3124	358
897	3126	355
898	3127	351
899	3128	347
900	3131	344
901	3133	340
902	3135	336
903	3136	333
904	3137	329
905	3140	325
906	3142	322
907	3145	318
908	3147	315
909	3148	311
910	3149	307
911	3151	304
912	3152	300
913	3154	296
914	3155	293
915	3156	289
916	3158	285
917	3161	282
918	3162	278
919	3164	275
920	3165	271
921	3166	267
922	3167	264
923	3168	260
924	3169	257
925	3171	253
926	3172	249
927	3174	246
928	3176	242
929	3177	239
930	3179	235
931	3180	232
932	3181	228
933	3183	224
934	3185	221
935	3186	217
936	3188	214
937	3191	210
938	3192	207
939	3193	203
940	3194	200
941	3195	196
942	3197	193
943	3198	189
